CustomerID,actual_churn,predicted_churn,churn_probability,prediction_correct
53751,1,1,0.988372307069269,True
51215,1,1,0.988372307069269,True
52353,1,1,0.988372307069269,True
55362,1,1,0.988372307069269,True
51157,1,1,0.988372307069269,True
52077,1,1,0.988372307069269,True
53698,1,1,0.988372307069269,True
54023,1,1,0.988372307069269,True
51457,1,1,0.988372307069269,True
54990,1,1,0.988372307069269,True
50607,1,1,0.988372307069269,True
54263,1,1,0.988372307069269,True
50339,1,1,0.988372307069269,True
53749,1,1,0.988372307069269,True
54817,1,1,0.988372307069269,True
52920,1,1,0.988372307069269,True
50936,1,1,0.988372307069269,True
55347,1,1,0.988372307069269,True
52343,1,1,0.988372307069269,True
53069,1,1,0.988372307069269,True
54870,1,1,0.988372307069269,True
54288,1,1,0.988372307069269,True
50768,1,1,0.9698092165531526,True
51803,1,1,0.9698092165531526,True
52235,0,1,0.9698092165531526,False
52456,1,1,0.9698092165531526,True
50416,1,1,0.9698092165531526,True
51173,1,1,0.9698092165531526,True
50461,1,1,0.9698092165531526,True
50512,1,1,0.9698092165531526,True
50765,0,1,0.9698092165531526,False
53112,1,1,0.9453457350926523,True
55229,1,1,0.9453457350926523,True
53697,1,1,0.9453457350926523,True
54425,1,1,0.9453457350926523,True
55217,1,1,0.9453457350926523,True
54759,1,1,0.9453457350926523,True
55182,1,1,0.9453457350926523,True
52094,1,1,0.9453457350926523,True
51038,1,1,0.9453457350926523,True
52423,1,1,0.9453457350926523,True
53289,1,1,0.9453457350926523,True
50297,1,1,0.9453457350926523,True
54182,1,1,0.9453457350926523,True
50944,1,1,0.9453457350926523,True
55451,1,1,0.9453457350926523,True
55398,1,1,0.9453457350926523,True
51043,1,1,0.9450488905385495,True
50014,1,1,0.9450488905385495,True
50355,1,1,0.9450488905385495,True
55434,1,1,0.9450488905385495,True
50808,1,1,0.9450488905385495,True
53126,1,1,0.9450488905385495,True
50861,1,1,0.9450488905385495,True
52741,1,1,0.9450488905385495,True
54601,1,1,0.9450488905385495,True
51012,1,1,0.9450488905385495,True
50329,1,1,0.9450488905385495,True
51550,1,1,0.9450488905385495,True
53580,0,1,0.9450488905385495,False
54215,0,1,0.9450488905385495,False
50718,1,1,0.9450488905385495,True
52582,1,1,0.9450488905385495,True
53676,1,1,0.9450488905385495,True
52513,1,1,0.9450488905385495,True
54293,1,1,0.9450488905385495,True
54497,1,1,0.9450488905385495,True
53305,1,1,0.9301763014346012,True
54454,1,1,0.9301763014346012,True
54618,1,1,0.9301763014346012,True
54400,1,1,0.9301763014346012,True
53384,1,1,0.9301763014346012,True
50569,1,1,0.9301763014346012,True
53727,1,1,0.9301763014346012,True
55314,1,1,0.9301763014346012,True
50901,0,1,0.9301763014346012,False
50013,1,1,0.9301763014346012,True
50199,1,1,0.9301763014346012,True
50438,1,1,0.9301763014346012,True
51585,1,1,0.9301763014346012,True
53487,1,1,0.9301763014346012,True
52617,1,1,0.8820714652134783,True
54202,0,1,0.8820714652134783,False
55473,1,1,0.8820714652134783,True
51517,1,1,0.8820714652134783,True
51133,1,1,0.8820714652134783,True
55173,1,1,0.8820714652134783,True
50140,1,1,0.8820714652134783,True
55540,1,1,0.8820714652134783,True
50815,1,1,0.8820714652134783,True
55407,1,1,0.8707847756012894,True
